,index,shot_loc_x,shot_loc_y,Inside,Side,Distance,Club
0,0,13.3,32.4,Inside,Left,22.060145058453266,Bayern München
1,1,5.5,52.0,Inside,Middle,5.852349955359813,Bayern München
2,2,9.3,44.7,Inside,Middle,10.70420478129973,Bayern München
3,3,14.1,41.7,Inside,Middle,16.361540269791227,Bayern München
4,4,10.2,59.1,Inside,Middle,13.66930868771351,Bayern München
5,5,15.7,45.0,Inside,Middle,16.476953601925327,Bayern München
6,6,9.4,47.3,Inside,Middle,9.780081799248922,Bayern München
7,7,13.1,36.8,Inside,Middle,18.59704277566732,Bayern München
8,8,18.7,34.7,Outside,Middle,24.16153968603822,Bayern München
9,9,20.1,65.3,Outside,Middle,25.26064132202506,Bayern München
10,10,18.4,48.9,Outside,Middle,18.432851108821986,Bayern München
11,11,21.3,45.5,Outside,Middle,21.770163067832083,Bayern München
12,12,14.7,45.2,Inside,Middle,15.463828762631845,Bayern München
13,13,19.4,72.8,Outside,Right,29.93659967330959,Bayern München
14,14,15.1,39.6,Inside,Middle,18.334939323597446,Bayern München
15,15,28.8,45.4,Outside,Middle,29.165047574108293,Bayern München
16,16,24.1,47.2,Outside,Middle,24.26211037811839,Bayern München
17,17,13.5,63.9,Inside,Middle,19.37679023987203,Bayern München
18,18,28.1,48.5,Outside,Middle,28.140007107319644,Bayern München
19,19,7.8,48.7,Inside,Middle,7.9075912893876845,Bayern München
20,20,20.8,63.1,Outside,Middle,24.581497106563713,Bayern München
21,21,24.4,42.7,Outside,Middle,25.46860812843921,Bayern München
22,22,29.1,42.5,Outside,Middle,30.05095672353877,Bayern München
23,23,13.1,55.7,Inside,Middle,14.286357128393508,Bayern München
24,0,18.0,53.9,Outside,Middle,18.41765457380499,Bayern München
25,1,14.5,59.8,Inside,Middle,17.501142819827507,Bayern München
26,2,8.1,51.0,Inside,Middle,8.161494961096281,Bayern München
27,3,8.2,44.1,Inside,Middle,10.10198000393982,Bayern München
28,4,10.4,67.8,Inside,Right,20.6155281280883,Bayern München
29,5,8.1,49.5,Inside,Middle,8.115417426109392,Bayern München
30,6,7.4,51.2,Inside,Middle,7.496665925596526,Bayern München
31,7,20.4,62.8,Outside,Middle,24.083189157584588,Bayern München
