,Value,Club,What
0,0.039286006242037,Bayern München,xG
1,0.63884288072586,Bayern München,xG
2,0.039408516138792,Bayern München,xG
3,0.061277970671654,Bayern München,xG
4,0.35389578342438,Bayern München,xG
5,0.12899321317673,Bayern München,xG
6,0.12079761922359,Bayern München,xG
7,0.040347468107939,Bayern München,xG
8,0.052908420562744,Bayern München,xG
9,0.066316112875938,Bayern München,xG
10,0.12095569074154,Bayern München,xG
11,0.036861982196569,Bayern München,xG
12,0.062195878475904,Bayern München,xG
13,0.030697349458933,Bayern München,xG
14,0.038517635315657,Bayern München,xG
15,0.036861710250378,Bayern München,xG
16,0.018906854093075,Bayern München,xG
17,0.039182394742966,Bayern München,xG
18,0.01938652805984,Bayern München,xG
19,0.10668554902077,Bayern München,xG
20,0.069756746292114,Bayern München,xG
21,0.042116496711969,Bayern München,xG
22,0.01175235118717,Bayern München,xG
23,0.61709952354431,Bayern München,xG
0,0.092332102358341,Bayern München,xG
1,0.1213535964489,Bayern München,xG
2,0.34810009598732,Bayern München,xG
3,0.51057958602905,Bayern München,xG
4,0.052028946578503,Bayern München,xG
5,0.14929068088531,Bayern München,xG
6,0.11938796192408,Bayern München,xG
7,0.024944880977273,Bayern München,xG
8,0.033011101186275,Bayern München,xG
9,0.023148844018579,Bayern München,xG
10,0.046611629426479,Bayern München,xG
11,0.062448676675558,Bayern München,xG
12,0.18870806694031,Bayern München,xG
13,0.7884,Bayern München,xG
14,0.059499520808458,Bayern München,xG
15,0.2017235159874,Bayern München,xG
16,0.024741651490331,Bayern München,xG
17,0.033613387495279,Bayern München,xG
18,0.020026154816151,Bayern München,xG
0,0.1137013733387,Bayern München,xG
1,0.039327763020992,Bayern München,xG
2,0.012679906561971,Bayern München,xG
3,0.11873055249453,Bayern München,xG
4,0.045862026512623,Bayern München,xG
5,0.027572648599744,Bayern München,xG
6,0.20518001914024,Bayern München,xG
7,0.032751969993114,Bayern München,xG
8,0.45063289999962,Bayern München,xG
9,0.018563413992524,Bayern München,xG
10,0.03202898055315,Bayern München,xG
11,0.027937192469835,Bayern München,xG
12,0.41775280237198,Bayern München,xG
13,0.086004167795181,Bayern München,xG
14,0.24510122835636,Bayern München,xG
15,0.019936790689826,Bayern München,xG
16,0.027989514172077,Bayern München,xG
17,0.028690388426185,Bayern München,xG
18,0.053270943462849,Bayern München,xG
19,0.081082701683044,Bayern München,xG
20,0.086689360439777,Bayern München,xG
21,0.028293369337916,Bayern München,xG
22,0.051293540745974,Bayern München,xG
23,0.065491311252117,Bayern München,xG
24,0.056412667036057,Bayern München,xG
0,0.22378730773926,Bayern München,xG
1,0.071152605116367,Bayern München,xG
2,0.37646010518074,Bayern München,xG
3,0.023467890918255,Bayern München,xG
4,0.20014108717442,Bayern München,xG
5,0.029578259214759,Bayern München,xG
6,0.10122176259756,Bayern München,xG
7,0.053124777972698,Bayern München,xG
8,0.055599618703127,Bayern München,xG
9,0.14195461571217,Bayern München,xG
10,0.087779618799686,Bayern München,xG
11,0.086289674043655,Bayern München,xG
12,0.49046367406845,Bayern München,xG
13,0.071566164493561,Bayern München,xG
14,0.034428264945745,Bayern München,xG
0,0.24316161870956,Bayern München,xG
1,0.16799372434616,Bayern München,xG
2,0.04978171736002,Bayern München,xG
3,0.049114797264338,Bayern München,xG
4,0.019983652979136,Bayern München,xG
5,0.10234982520342,Bayern München,xG
6,0.093431353569031,Bayern München,xG
7,0.052786886692047,Bayern München,xG
8,0.034507427364588,Bayern München,xG
9,0.7884,Bayern München,xG
10,0.42531144618988,Bayern München,xG
11,0.020179213955998,Bayern München,xG
12,0.026600014418364,Bayern München,xG
13,0.054442148655653,Bayern München,xG
14,0.43233543634415,Bayern München,xG
15,0.37236469984055,Bayern München,xG
